title,description,country,subscriberCount
"Comedy Central Germany","Willkommen auf dem YouTube-Kanal der Comedy Central Germany! Hier finden Sie die besten Clips, Compilations, Highlights und Exclusives.

http://www.comedycentral.tv/impressum_info

IMPRESSUM
VIMN Germany GmbH
Amtsgericht Berlin-Charlottenburg
HRB 113345
Finanzamt Berlin für Körperschaften II, Steuernummer: 37/116/21270
Ust-ID: DE813366708",DE,17325
"Nightcore Germany","Hey,
Ich bins euer Nightcore Germany.
Auf diesem Kanal lade ich Nightcores verschiedener Art hoch. (Deutsch, Englisch)
Ich hoffe das euch die Nightcores die ich produziere gefallen und ihr ein Like oder ein Abo da lasst.
Zum Schluss sei gesagt: Viel Spaß auf meinem Kanal.",DE,9949
"MattyBraps Germany","Official YouTube Fanpage for MattyBraps 
thank you for visiting and please SUBSCRIBE!",DE,30604
"NashTV Germany-Austria","NASH TV Deutschland & Österreich

Der offizielle Youtube Kanal der deutschen & österreichischen Teamangler.
PLUS: Alle englischen Nash TV Videos mit deutschen Untertiteln.",DE,8067
