title,description,country,subscriberCount
"MUSTANG MAKEOVER GERMANY","Das MUSTANG MAKEOVER ist eine PRO-Pferd-Veranstaltung, die aktuell auf dem CHIO Aachen Gelände stattfindet. Trainer haben die Chance über einen Zeitraum von gut 3 Monaten mit ehemals wild lebenden Mustangs zu arbeiten und die Ergebnisse vorzustellen. 

So folgen wir unseren Zielen Mustangs in Europa bekannt zu machen und auf deren Situation hinzuweisen, aber auch Wissen rund um Pferd und Training zu verbreiten. 

In der damit verbundenen Challenge werden Harmonie, Vertrauen und 'das unsichtbare Band' zwischen Pferd und Trainer bewertet. Die Pferde dürfen, müssen aber nicht geritten werden, wenn dies noch nicht möglich ist.

Alle Trainer berichten vom Training mit den Mustangs und stellen diese auf unseren Facebook-Kanal, der Website, auf Instagram und YouTube kostenfrei zur Verfügung. 

Die Veranstaltung ist eine sehr emotionale Begegnung zwischen Zuschauern, Trainern und Experten. Ein Muss für jeden Pferdefan.",DE,13038
"Bharat in Germany!","This is my humble initiative to help all the students who want to come to Germany for their studies. My name is Bharat, 22 years old and doing my Masters in Structural Engineering with German as the language of instruction at the Technical University of Hamburg. I had to learn the language myself with the help of internet and books. Yes, it took me time and a lot of efforts but I did it and I have a German proficiency level of C1 without visiting any private language course or language school.

I am happy to have you on my channel and here I am going to inform you with all of my experiences along with showing you glimpses of my life here along with my wife, Alina, who grew up in Germany.

Please consider SUBSCRIBING the channel, if you like the videos. If not, please, leave a comment on how I can improve them! All constructive ideas and suggestions are warmly welcomed! :)",DE,114750
"Julius Battenfeld","Outdoor - Trekking - Camping - EDC - Hunting - Military - Tactical - Gear - Reviews

Hey Gear-Junkies,

ihr habt Lust auf hochwertige Reviews über gute Ausrüstung? Ihr wünscht euch, dass auch negative Punkte besprochen werden? Tipps und Hilfen zur Anwendung?
Dann seid ihr hier genau richtig!

Ich poste zwar nicht häufig, dafür nehme ich mir die Zeit die Ausrüstung zu testen und um eventuelle Schwachpunkte zu erkennen. Dazu gibt es ein Video-Design, in das ich sehr viel Zeit investiere und zusätzlich schreibe ich einen Untertitel für meine englischsprachigen Freunde. 

Also, ich wünsche viel Spaß auf dem Kanal und freue mich natürlich über Support jeglicher Art. 

Gruß Julius",DE,11775
"Beyoncé Germany HD",,DE,21542
"InStyle Germany",,DE,5420
"Hands Up! Germany","Willkommen/Welcome to our Hands Up! Music Channel!",DE,11615
