title,description,country,subscriberCount
"Fortnite/CoD Deutschland","Ich lade Fortnite Highlight Videos aus dem deutschsprachigem Raum hoch

YTG32Q",DE,156015
"Legends of Gaming Germany","Der Kanal LOGG steht für knallhartes Gaming auf Youtube! 

Nachdem ihr bei Bergstürmer über unzählige Folgen lang versucht habt, Herr Bergmann vom Gaming-Thron zu stoßen, starten wir im April 2016 die Let's Play Liga, bei der eure beliebtesten Let's Player um den Titel der ""Legende"" kämpfen! IT'S GONNA BE EPIC!

Weitere Infos zum Gamez.de-Gewinnspiel direkt unter: http://www.gamez.de

© LOGG 2016",DE,146354
"German Freak ASMR - Eating sounds made in Germany","ASMR eating no talking channel about delicious German food! Let me tell you my story why I'm doing ASMR eating no talking!

I was searching for some videos about ""hypnosis"" and ""meditation"". One day there appeared a video suggestion at the YouTube video sidebar ""ASMR..."" with a beautiful German Russian girl called ""Pelagea"". I clicked and watched the video. It was so damn relaxing. I could't stop watching her videos. They brought to sleep. 

Then I checked YouTube for more ASMR videos. I found ""WillsonEatsASMR"" and ""Binaural Eats ASMR"". Also super relaxing videos with eating sounds. I love these guys. Inspired by them I decided to make videos for the ASMR community with German food!",DE,9683
"TAMA Drums Germany","Offizieller YouTube-Kanal von TAMA Drums Germany

Impressum: www.tama.de/tama/impressum

Datenschutz: www.tama.de/tama/datenschutz",DE,9375
